Student_ID,Gender,Age,Grade_Level,Attendance,Study_Hours_Per_Day,Previous_GPA,Midterm_Score,Assignment_Score,Quiz_Score,Final_Exam_Score,Class_Participation,Extracurricular,Internet_Access,Parent_Education,Family_Income,Sleep_Hours,Screen_Time,Stress_Level,Teacher_Feedback,Absences,Final_Result,Performance
42,Female,16,10,69,7.0,3.24,100,62,79,87,Low,Yes,Yes,High School,Low,9.0,3.1,Medium,Excellent,13,Pass,Excellent
43,Male,21,9,94,5.2,3.41,100,65,81,87,High,Yes,Yes,Graduate,Low,5.8,2.6,Low,Poor,7,Pass,Excellent
44,Female,19,College-1,60,6.5,3.84,100,55,83,83,High,No,No,High School,High,7.2,6.8,Low,Excellent,15,Pass,Good
45,Male,17,12,97,3.3,3.92,100,73,78,85,High,No,No,High School,High,5.6,1.6,Medium,Excellent,6,Pass,Excellent
46,Female,21,College-1,55,4.3,2.21,74,49,66,61,Low,No,Yes,Graduate,Medium,6.3,3.2,Medium,Poor,17,Pass,Average
47,Male,20,College-1,99,3.8,3.32,100,72,91,93,Medium,No,Yes,High School,Medium,6.8,7.9,High,Average,6,Pass,Excellent
48,Male,21,9,68,4.1,3.95,100,51,72,76,Low,Yes,No,High School,High,7.6,1.8,Low,Excellent,13,Pass,Good
49,Male,21,10,95,3.0,2.96,100,59,85,79,High,Yes,Yes,Graduate,Medium,7.7,3.9,Medium,Good,7,Pass,Good
50,Female,20,11,50,3.0,4.0,100,35,73,63,High,No,No,Graduate,Low,5.8,5.1,High,Average,18,Pass,Average
51,Female,15,10,86,3.7,2.64,99,63,85,85,High,No,Yes,Graduate,Low,8.4,3.9,High,Excellent,9,Pass,Excellent
52,Male,20,College-2,50,6.1,2.31,92,53,74,73,High,No,No,Postgraduate,High,6.3,5.6,Medium,Poor,18,Pass,Good
53,Female,17,College-2,89,1.5,3.99,100,55,72,78,Medium,Yes,Yes,Graduate,Low,7.3,7.4,Medium,Good,8,Pass,Good
54,Female,18,12,73,4.0,3.36,100,51,72,80,High,Yes,Yes,Graduate,High,5.6,3.9,Medium,Excellent,12,Pass,Good
55,Female,19,College-2,66,5.7,2.58,100,56,72,77,Medium,No,No,Graduate,Low,8.5,4.3,Medium,Excellent,14,Pass,Good
56,Male,15,College-1,56,2.7,3.99,100,35,71,67,High,No,No,High School,High,7.1,5.0,Medium,Average,16,Pass,Average
57,Female,22,9,90,2.3,3.53,100,66,78,85,High,No,Yes,High School,Medium,5.6,6.3,Medium,Excellent,8,Pass,Excellent
58,Female,19,College-2,61,2.4,2.73,90,40,62,63,Medium,Yes,No,High School,Low,8.0,7.1,Low,Excellent,15,Pass,Average
59,Female,16,College-2,85,3.6,3.07,100,61,80,80,Low,No,Yes,Postgraduate,High,8.1,1.1,Medium,Average,9,Pass,Good
60,Male,19,12,91,1.4,2.6,88,45,62,70,Low,Yes,Yes,Postgraduate,Low,8.2,7.4,Medium,Excellent,8,Pass,Good
61,Female,19,9,73,5.7,2.84,97,68,77,81,High,No,Yes,Graduate,Medium,7.8,7.6,Low,Good,12,Pass,Good
62,Male,22,9,56,7.9,3.29,100,69,84,90,High,Yes,Yes,High School,Medium,6.2,7.3,Low,Average,16,Pass,Excellent
63,Male,19,10,100,5.0,2.41,94,72,85,90,Low,No,Yes,High School,High,4.8,6.4,Low,Average,5,Pass,Excellent
64,Male,16,12,50,3.5,2.03,69,35,48,51,Medium,No,Yes,Graduate,High,8.0,5.1,Low,Poor,18,Pass,Poor
65,Female,16,12,96,6.5,2.92,100,71,92,92,High,No,Yes,High School,Medium,8.4,4.7,High,Average,6,Pass,Excellent
66,Female,21,9,54,1.9,3.42,98,45,79,69,High,Yes,Yes,Graduate,Medium,7.3,5.1,Low,Excellent,17,Pass,Average
67,Female,16,9,71,6.8,2.63,100,67,86,91,Low,Yes,No,High School,High,6.3,6.1,High,Good,13,Pass,Excellent
68,Male,19,College-1,58,4.9,2.66,85,56,73,70,Medium,No,Yes,Postgraduate,High,7.1,4.9,Low,Average,16,Pass,Good
69,Male,19,9,92,4.4,3.11,100,66,82,84,Low,No,No,Graduate,Medium,8.3,3.5,Low,Average,7,Pass,Good
70,Female,21,12,59,5.0,3.27,96,46,79,76,Medium,Yes,No,Graduate,High,6.3,2.0,Medium,Poor,16,Pass,Good
71,Female,19,10,53,2.1,2.16,73,40,63,53,High,Yes,No,Graduate,Low,7.9,1.3,Medium,Excellent,17,Pass,Poor
72,Male,19,11,83,5.7,3.2,100,66,84,89,Medium,Yes,Yes,Graduate,High,4.7,3.8,Medium,Average,10,Pass,Excellent
73,Female,15,12,58,3.7,3.67,100,39,73,75,Low,No,No,Postgraduate,Medium,7.7,4.5,High,Excellent,16,Pass,Good
74,Female,16,10,68,1.8,3.6,100,47,76,74,Medium,No,Yes,Graduate,Medium,4.6,3.3,High,Good,13,Pass,Good
75,Male,18,9,64,3.3,2.23,84,44,67,65,Low,No,Yes,High School,High,5.3,4.6,Low,Poor,14,Pass,Average
76,Male,22,9,61,7.7,3.13,100,73,88,90,Medium,No,No,Graduate,High,7.3,4.2,Low,Good,15,Pass,Excellent
77,Female,22,College-1,82,1.5,2.74,85,40,56,58,High,Yes,No,Postgraduate,High,6.6,1.3,Low,Good,10,Pass,Average
78,Male,18,College-2,88,4.3,2.21,87,57,80,80,Medium,No,Yes,Graduate,Medium,5.2,1.4,Medium,Excellent,8,Pass,Good
79,Female,19,11,76,6.4,3.26,100,62,83,90,High,Yes,No,High School,High,7.6,1.4,High,Average,11,Pass,Excellent
80,Male,16,College-2,72,3.2,2.26,72,51,65,63,High,No,No,High School,Medium,7.5,5.6,Medium,Average,12,Pass,Average
81,Male,20,College-1,63,3.4,4.0,100,40,71,74,Low,No,Yes,High School,Low,7.9,2.3,High,Average,15,Pass,Good
82,Male,18,11,96,4.1,2.48,98,77,88,86,Medium,Yes,No,Postgraduate,High,6.3,5.7,Medium,Excellent,6,Pass,Excellent
83,Male,22,11,99,3.0,3.93,100,73,82,86,High,Yes,Yes,Graduate,Low,6.2,4.7,Low,Good,6,Pass,Excellent
84,Female,15,12,78,7.3,3.89,100,79,92,99,High,No,Yes,Graduate,Low,5.2,4.1,Medium,Average,11,Pass,Excellent
85,Female,17,College-2,51,3.2,2.67,78,35,49,55,Medium,No,Yes,High School,Low,4.9,6.0,Medium,Average,18,Pass,Average
86,Male,18,12,59,4.8,2.22,81,50,66,71,High,No,Yes,High School,Medium,7.8,4.7,High,Poor,16,Pass,Good
87,Male,16,College-1,90,4.6,2.86,100,69,83,85,Medium,Yes,Yes,Graduate,Medium,5.6,2.0,Low,Excellent,8,Pass,Excellent
88,Male,20,College-1,73,2.8,2.69,98,43,72,73,Medium,Yes,No,Postgraduate,Medium,4.6,6.5,High,Average,12,Pass,Good
89,Female,21,College-1,58,1.4,2.59,68,35,44,47,Medium,No,Yes,Postgraduate,Low,8.0,4.2,Medium,Good,16,Fail,Poor
90,Female,17,12,99,1.3,3.6,100,58,85,77,High,No,No,Postgraduate,Medium,7.5,2.9,Low,Excellent,6,Pass,Good
91,Female,22,College-1,55,4.0,2.59,79,39,61,61,High,No,Yes,Postgraduate,Medium,9.0,2.3,Medium,Excellent,17,Pass,Average
92,Female,17,9,52,6.1,2.87,100,47,67,74,Low,No,Yes,High School,Low,8.6,5.3,Low,Good,17,Pass,Good
93,Male,20,12,73,3.7,3.36,100,56,84,83,Medium,No,Yes,High School,Low,7.1,5.2,High,Average,12,Pass,Good
94,Male,16,10,81,4.6,3.55,100,59,80,80,Low,No,Yes,Postgraduate,Medium,8.6,1.8,Low,Good,10,Pass,Good
95,Male,16,10,92,3.4,3.78,100,73,83,85,Low,Yes,No,High School,Medium,4.8,4.8,High,Good,7,Pass,Excellent
96,Female,21,College-1,79,6.6,2.17,92,74,90,85,Low,Yes,No,Postgraduate,Low,7.0,5.3,Medium,Excellent,11,Pass,Excellent
97,Male,16,College-1,93,4.6,3.1,100,64,78,83,Low,No,Yes,High School,Medium,5.1,6.8,High,Average,7,Pass,Good
98,Female,16,College-1,72,7.6,2.16,91,84,87,94,High,Yes,Yes,High School,High,6.8,3.0,High,Good,12,Pass,Excellent
99,Male,22,College-2,86,1.3,3.9,100,47,71,70,High,No,No,Graduate,Low,8.4,1.6,High,Excellent,9,Pass,Good
100,Female,20,College-2,69,4.2,2.83,100,51,77,79,Medium,No,Yes,Graduate,High,7.6,2.1,High,Poor,13,Pass,Good
101,Male,17,11,70,2.7,2.28,69,47,62,58,High,No,Yes,High School,Medium,5.1,4.1,High,Excellent,13,Pass,Average
102,Male,15,11,81,7.2,2.79,100,73,84,91,Medium,No,No,Postgraduate,Low,6.7,1.6,Low,Excellent,10,Pass,Excellent
103,Female,16,12,58,7.2,2.73,100,56,76,82,High,No,No,Postgraduate,High,7.8,6.3,High,Poor,16,Pass,Good
104,Female,15,9,58,7.8,2.68,100,62,79,82,Low,Yes,No,Graduate,High,6.3,6.6,Medium,Average,16,Pass,Good
105,Female,19,12,88,7.3,2.64,100,89,95,99,Low,No,No,Postgraduate,Low,5.1,7.5,Medium,Good,8,Pass,Excellent
106,Female,17,College-1,100,7.3,3.19,100,96,97,100,High,No,Yes,Postgraduate,Low,8.4,5.4,Low,Poor,5,Pass,Excellent
107,Male,18,College-1,62,1.1,3.38,97,42,76,71,Medium,No,No,Graduate,Low,5.9,2.1,Medium,Good,15,Pass,Good
108,Male,19,College-1,84,3.5,3.29,100,68,91,86,Medium,Yes,No,Graduate,High,8.0,6.0,Low,Excellent,9,Pass,Excellent
109,Female,17,11,70,4.4,3.44,100,50,79,76,Low,No,Yes,Graduate,Medium,7.0,7.5,High,Good,13,Pass,Good
110,Male,15,College-2,97,4.4,3.87,100,64,77,86,High,Yes,Yes,High School,Low,5.4,4.8,Medium,Good,6,Pass,Excellent
111,Male,19,11,95,4.3,3.93,100,72,93,87,Medium,Yes,Yes,Postgraduate,High,7.6,2.0,Low,Poor,7,Pass,Excellent
112,Male,15,11,61,3.9,2.07,78,55,63,66,High,Yes,No,Graduate,Medium,8.3,7.5,High,Excellent,15,Pass,Average
113,Male,20,11,58,7.0,2.23,86,68,77,83,High,Yes,Yes,Postgraduate,High,6.6,2.3,Medium,Excellent,16,Pass,Good
114,Female,21,10,82,3.3,3.96,100,57,77,83,Medium,No,No,Graduate,High,6.3,1.7,High,Poor,10,Pass,Good
115,Female,16,College-2,66,5.6,2.24,87,56,75,72,Medium,No,Yes,High School,Low,7.6,1.4,Medium,Average,14,Pass,Good
116,Male,22,College-1,79,6.2,3.1,100,77,86,92,High,No,Yes,Postgraduate,Low,7.2,3.9,Low,Average,11,Pass,Excellent
117,Female,15,12,86,4.8,2.88,100,75,94,94,Low,No,No,Postgraduate,Low,5.2,7.0,High,Excellent,9,Pass,Excellent
118,Female,20,College-2,93,6.6,3.63,100,87,87,100,Low,Yes,Yes,Graduate,Low,7.8,3.8,Medium,Excellent,7,Pass,Excellent
119,Female,21,9,61,6.4,3.29,100,63,85,82,High,Yes,No,High School,Low,7.9,7.8,High,Excellent,15,Pass,Good
120,Female,18,10,83,1.9,3.51,100,55,82,73,Medium,No,Yes,Graduate,Low,8.9,6.8,High,Poor,10,Pass,Good
121,Male,15,12,52,6.7,3.77,100,56,76,84,High,Yes,Yes,Postgraduate,Low,6.4,6.4,Medium,Excellent,17,Pass,Good
122,Male,19,10,64,4.8,2.28,84,53,70,70,High,Yes,No,Graduate,Medium,7.9,6.4,Low,Average,14,Pass,Good
123,Female,21,10,90,5.8,2.69,100,76,96,93,Medium,No,Yes,Postgraduate,Medium,7.0,1.3,Low,Average,8,Pass,Excellent
124,Female,18,11,69,7.0,2.12,94,72,91,91,Low,No,Yes,Graduate,Medium,5.1,4.2,Low,Average,13,Pass,Excellent
125,Male,20,11,53,2.9,3.75,100,49,72,68,Low,Yes,Yes,Postgraduate,Low,7.5,5.2,High,Excellent,17,Pass,Average
126,Female,19,11,65,5.9,2.48,94,61,81,78,Medium,No,No,High School,High,7.7,3.8,Medium,Good,14,Pass,Good
127,Female,19,10,63,3.6,2.44,77,39,58,56,Low,No,Yes,Graduate,High,6.4,4.9,Low,Excellent,15,Pass,Average
128,Female,17,10,85,5.6,3.64,100,75,93,94,High,No,Yes,Postgraduate,High,7.6,2.8,Low,Poor,9,Pass,Excellent
129,Male,18,College-1,54,7.6,2.82,100,62,75,86,Medium,No,Yes,Postgraduate,High,7.5,6.4,High,Excellent,17,Pass,Excellent
130,Female,17,9,92,4.4,2.02,91,66,79,86,Low,Yes,Yes,High School,High,4.5,4.9,High,Good,7,Pass,Excellent
131,Male,15,9,72,2.9,2.81,99,47,72,73,Medium,No,No,Postgraduate,Medium,6.3,3.6,Low,Poor,12,Pass,Good
132,Male,18,College-2,94,2.2,3.57,100,51,83,82,High,No,No,High School,Low,6.7,4.0,High,Good,7,Pass,Good
133,Male,19,10,84,4.9,2.63,94,74,80,83,High,Yes,No,Postgraduate,High,4.6,7.5,Medium,Excellent,9,Pass,Good
134,Male,16,11,98,6.2,2.16,97,71,79,88,High,No,No,High School,High,8.1,5.8,Medium,Excellent,6,Pass,Excellent
135,Male,16,9,81,2.6,2.37,90,55,66,71,Medium,Yes,No,Postgraduate,High,7.0,3.6,Low,Excellent,10,Pass,Good
136,Male,21,12,70,3.5,2.89,93,45,65,73,High,No,Yes,High School,Low,4.9,7.6,Medium,Poor,13,Pass,Good
137,Male,21,10,88,5.2,2.58,100,62,80,82,Low,No,No,Graduate,Medium,6.0,3.7,Low,Poor,8,Pass,Good
138,Female,16,10,60,4.0,2.15,76,47,68,65,Medium,Yes,No,Graduate,High,6.4,4.4,Medium,Good,15,Pass,Average
139,Female,20,10,78,3.3,3.95,100,54,79,79,Medium,No,No,Postgraduate,High,8.2,7.0,High,Excellent,11,Pass,Good
140,Male,15,College-2,86,6.5,3.57,100,68,82,86,Medium,Yes,No,Graduate,High,6.0,3.0,Low,Excellent,9,Pass,Excellent
141,Female,21,College-1,93,4.5,3.32,100,71,79,84,High,No,Yes,Graduate,High,7.4,2.7,High,Poor,7,Pass,Good
142,Female,16,9,56,6.4,3.29,100,68,88,85,Low,No,Yes,Postgraduate,High,7.5,3.5,High,Average,16,Pass,Excellent
143,Male,19,12,78,3.6,3.38,100,58,71,75,Low,Yes,Yes,Graduate,Medium,6.6,5.8,Medium,Excellent,11,Pass,Good
144,Male,16,9,100,2.4,2.88,100,62,75,81,Medium,Yes,Yes,Postgraduate,Low,6.7,4.3,High,Average,5,Pass,Good
145,Female,21,9,85,2.1,2.46,85,63,71,74,High,Yes,No,Postgraduate,Medium,7.0,7.7,Medium,Poor,9,Pass,Good
146,Female,18,12,95,2.5,3.59,100,53,73,77,Low,No,No,Postgraduate,High,5.8,5.9,Medium,Excellent,7,Pass,Good
147,Female,16,10,89,3.7,2.92,96,62,73,82,Medium,Yes,Yes,Graduate,High,5.0,3.5,Low,Excellent,8,Pass,Good
148,Male,22,11,76,5.2,2.97,100,74,84,84,Low,Yes,No,Graduate,High,7.1,4.0,Low,Good,11,Pass,Good
149,Female,22,12,50,4.4,3.12,100,52,81,73,Low,Yes,Yes,High School,Medium,5.4,3.7,Low,Good,18,Pass,Good
150,Male,19,College-1,64,4.8,3.49,100,63,89,86,Medium,Yes,No,Postgraduate,Low,5.3,4.2,Medium,Poor,14,Pass,Excellent
151,Female,16,10,97,6.8,4.0,100,80,93,100,Low,No,No,High School,High,7.9,3.1,Low,Average,6,Pass,Excellent
152,Female,16,10,63,6.6,3.19,100,64,83,86,Medium,Yes,No,Postgraduate,Low,7.1,4.7,High,Average,15,Pass,Excellent
153,Female,21,12,65,2.0,3.69,100,47,69,70,Low,Yes,No,Postgraduate,High,5.9,2.7,Medium,Good,14,Pass,Good
154,Female,18,12,79,7.7,3.55,100,82,94,100,Low,No,No,Graduate,Medium,6.0,1.0,Medium,Average,11,Pass,Excellent
155,Male,17,12,86,7.0,3.52,100,71,91,97,Medium,Yes,No,High School,High,8.0,7.3,Low,Good,9,Pass,Excellent
156,Female,19,College-2,60,7.1,2.72,95,66,77,88,High,Yes,No,Postgraduate,Low,8.4,1.7,High,Poor,15,Pass,Excellent
157,Male,21,College-2,50,2.5,3.04,93,35,56,60,Low,No,Yes,High School,Medium,4.9,5.2,Low,Poor,18,Pass,Average
158,Male,17,12,56,3.2,3.55,98,54,72,76,Medium,Yes,Yes,Graduate,High,8.5,2.0,High,Excellent,16,Pass,Good
159,Male,18,11,63,1.6,3.18,94,40,72,64,High,Yes,Yes,Postgraduate,High,5.0,6.3,High,Good,15,Pass,Average
160,Female,19,College-2,99,7.6,3.75,100,93,100,100,Low,Yes,No,Graduate,Low,4.6,6.9,Low,Excellent,6,Pass,Excellent
161,Female,17,12,90,5.2,3.97,100,65,86,86,Low,Yes,Yes,High School,Medium,6.9,7.8,Low,Poor,8,Pass,Excellent
162,Male,19,9,53,7.6,3.43,100,67,87,91,Medium,Yes,Yes,High School,High,6.3,3.0,Medium,Excellent,17,Pass,Excellent
163,Male,21,9,87,5.4,2.13,93,67,73,84,Medium,Yes,No,Postgraduate,High,8.3,5.8,High,Average,9,Pass,Good
164,Male,20,10,57,1.1,2.99,85,40,70,60,High,No,Yes,High School,Medium,5.1,1.1,Medium,Good,16,Pass,Average
165,Female,17,11,83,1.4,2.15,77,54,68,69,Low,No,Yes,Postgraduate,High,7.7,5.0,High,Poor,10,Pass,Average
166,Male,17,9,64,6.2,2.02,76,68,75,74,High,No,Yes,Graduate,Low,4.5,7.0,Medium,Good,14,Pass,Good
167,Male,21,9,67,6.8,3.35,100,62,80,82,Medium,No,No,Graduate,Low,7.1,1.8,High,Excellent,14,Pass,Good
168,Male,18,10,50,3.6,3.48,100,47,76,69,Low,No,Yes,High School,High,5.8,6.5,Medium,Poor,18,Pass,Average
169,Female,22,9,71,1.0,3.45,90,36,71,64,Low,No,Yes,High School,Low,7.5,6.9,High,Excellent,13,Pass,Average
170,Male,21,College-2,94,7.3,3.16,100,77,92,100,Low,Yes,No,Graduate,Medium,6.6,6.2,Medium,Good,7,Pass,Excellent
171,Male,22,12,70,4.2,2.27,92,49,66,75,Medium,No,Yes,Postgraduate,Medium,5.6,7.6,Low,Excellent,13,Pass,Good
172,Female,17,9,69,4.2,3.62,100,64,75,81,High,Yes,No,Graduate,High,8.3,1.6,Low,Good,13,Pass,Good
173,Female,16,10,66,6.7,3.71,100,73,85,92,Low,Yes,Yes,High School,Low,5.3,7.7,Low,Excellent,14,Pass,Excellent
174,Female,17,9,73,5.8,3.17,100,55,71,82,Medium,Yes,Yes,Graduate,Low,8.7,1.6,Low,Excellent,12,Pass,Good
175,Female,17,9,96,3.8,2.35,86,62,74,78,High,Yes,No,Graduate,Medium,4.6,5.8,High,Excellent,6,Pass,Good
176,Female,22,College-1,53,1.6,3.29,98,35,58,59,Medium,No,No,Graduate,Medium,6.2,3.9,Low,Poor,17,Pass,Average
177,Male,16,10,70,5.2,2.56,99,67,86,86,High,Yes,No,Postgraduate,High,4.6,6.7,Low,Average,13,Pass,Excellent
178,Female,15,College-2,86,6.9,3.68,100,72,85,91,High,No,Yes,Postgraduate,Low,8.1,3.5,Medium,Good,9,Pass,Excellent
179,Male,17,11,61,4.4,2.44,92,57,66,72,High,Yes,No,High School,Low,4.9,2.6,Low,Average,15,Pass,Good
180,Female,20,10,99,1.8,2.15,81,66,68,71,Low,No,No,Postgraduate,Medium,6.9,3.6,Low,Good,6,Pass,Good
181,Female,15,10,64,5.7,3.47,100,54,74,84,High,No,Yes,Postgraduate,High,8.2,3.6,Low,Excellent,14,Pass,Good
182,Male,19,10,59,3.3,2.64,96,38,69,65,Low,Yes,No,Graduate,Low,4.9,3.4,High,Poor,16,Pass,Average
183,Female,16,12,53,3.7,3.77,100,47,76,69,High,Yes,Yes,Graduate,Low,7.8,7.8,Low,Good,17,Pass,Average
184,Male,20,College-1,51,3.2,2.34,79,36,51,52,High,No,Yes,Graduate,High,8.8,1.5,Low,Excellent,18,Pass,Poor
185,Female,18,9,60,1.4,2.82,89,44,66,63,Low,No,No,High School,Low,6.0,7.8,Medium,Poor,15,Pass,Average
186,Female,16,12,77,1.6,2.96,83,36,57,62,Low,No,No,Graduate,Medium,8.2,5.4,High,Good,11,Pass,Average
187,Female,22,11,55,5.5,2.76,91,59,68,75,Low,No,Yes,High School,High,6.2,3.6,High,Poor,17,Pass,Good
188,Female,22,College-1,55,5.7,3.51,100,63,74,79,Low,No,No,High School,Medium,8.1,3.9,High,Poor,17,Pass,Good
189,Male,18,10,82,5.0,3.97,100,59,85,87,Low,Yes,No,High School,High,6.8,5.0,Medium,Average,10,Pass,Excellent
190,Female,20,11,90,2.0,3.45,98,47,76,70,High,No,Yes,Postgraduate,High,7.2,3.2,High,Excellent,8,Pass,Good
191,Female,21,11,57,3.9,3.52,100,41,65,70,Medium,No,No,High School,Low,5.2,5.1,Medium,Excellent,16,Pass,Good
192,Female,20,9,59,5.3,2.79,97,53,68,73,Medium,No,No,Graduate,Medium,7.6,3.8,High,Poor,16,Pass,Good
193,Female,18,12,64,1.9,3.65,100,44,66,69,High,No,No,High School,High,8.9,4.1,Low,Poor,14,Pass,Average
194,Male,15,10,69,6.0,3.05,100,54,74,82,Low,No,Yes,Graduate,High,6.3,6.5,Low,Good,13,Pass,Good
195,Female,17,12,73,6.8,2.25,84,67,78,79,High,No,No,High School,Medium,6.8,5.4,High,Poor,12,Pass,Good
196,Female,21,College-1,68,1.2,3.56,96,37,65,65,Low,Yes,No,High School,High,4.7,7.0,Low,Poor,13,Pass,Average
197,Female,22,11,64,2.8,3.93,100,44,77,70,Low,No,No,Postgraduate,High,8.1,3.1,High,Excellent,14,Pass,Good
198,Male,22,9,87,1.7,3.69,100,59,80,78,Medium,No,No,Graduate,Medium,6.8,5.6,High,Good,9,Pass,Good
